LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-01,100.6446,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-02,100.4539,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-03,100.291,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-04,100.2471,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-05,100.2746,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-06,100.3105,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-07,100.3286,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-08,100.3638,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-09,100.4339,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-10,100.5447,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-11,100.639,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2016-12,100.6664,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-01,100.6077,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-02,100.5281,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-03,100.5356,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-04,100.6218,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-05,100.7533,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-06,100.9259,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-07,101.0727,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-08,101.1708,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-09,101.254,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-10,101.3351,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-11,101.4019,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2017-12,101.4362,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-01,101.4066,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-02,101.3342,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-03,101.2421,
